"time","S","V1","V2","E","Ev","I1","I2","I3","I4","Ia","Rc","Rcp","Ra","BH","BL","CDc","CInc","CRD","CRInc","temperature","rainfall","n","beta_e","beta_e0","lam_e","lam_h","u","P","rho1.rho1","rho2.rho2","HYG","SAN","CWA","e_inc","h_inc","I","R"
30,17693632.5681407,0,0,300.181530816225,0,9.19583473467314,23.6870699552526,85.9983250072601,29.063584776099,111.890098986639,1457.30919293148,5.89066055071198,4331.06818015499,12605985317.4525,5489676795.58235,13.1473813273897,6733.2295901358,4.60158346458638,379.006512913761,21.3165579901324,95029.6907556031,0.190404608507339,4.30586465799052e-06,0.00019,4.29803535307309e-06,4.39999501371214e-06,12438620348.6473,17699986.8526187,0,0,1,1,1,76.0478583021544,77.8518950742739,259.834913459924,5794.26803363718
31,17693501.1189532,0,0,304.978530779482,0,9.1616667826472,23.5875524968752,85.6246901163934,28.7562474432923,112.938721440923,1495.10718574694,6.31227665259846,4418.93959482508,12478456445.2925,5420128288.73743,13.4745805171759,6889.24538370529,4.71610318101156,388.509580548661,21.3335711737096,95458.0032921254,0.193931210630767,4.55508300263105e-06,0.00019,4.54669446600646e-06,4.39999496275271e-06,12390838430.3871,17699986.5254195,0,0,1,1,1,80.4469436218236,77.8513157968535,260.068878280131,5920.35905722462
32,17693365.2682594,0,0,311.77452956693,0,9.18695072546574,23.6406052112376,85.8041818707742,28.6322555563851,114.737364011913,1532.66911413811,6.74444771699495,4507.74072659937,12430877612.2439,5371179230.44939,13.8015652241762,7050.15872884956,4.83054782846168,398.004635336326,21.3507843118664,95983.3979871501,0.197499260625566,4.8607896654343e-06,0.00019,4.85175672031712e-06,4.39999494347281e-06,12423390027.2541,17699986.1984348,0,0,1,1,1,85.8439038453028,77.8507177133587,262.001357375776,6047.15428845448
33,17693224.0263994,0,0,320.56751769289,0,9.27182314932288,23.8466443267221,86.5384166212317,28.6924664890973,117.285498687633,1570.23958580563,7.18713309941508,4598.21405856096,12463567509.2091,5343617775.48438,14.1304561398236,7216.96671831086,4.94565964893827,407.55319458342,21.3681921613139,96605.7148003635,0.201107671629142,5.22289152518917e-06,0.00019,5.21313570819919e-06,4.39999495673524e-06,12536469544.7251,17699985.8695438,0,0,1,1,1,92.2371779651906,77.8500964845442,265.634849274007,6175.640777466
34,17693076.4095572,0,0,331.354941040176,0,9.41636149917319,24.2059188150022,87.8283789865663,28.9374554337064,120.582355267212,1608.06397718804,7.64036287594434,4691.09731361587,12576735329.9685,5338083132.66688,14.4633780998265,7390.66475288332,5.06218233493929,417.216904683506,21.3857894194527,97324.7641680359,0.204755344484548,5.64127828216153e-06,0.00019,5.63073005741966e-06,4.39999500211543e-06,12730189151.6092,17699985.5366219,0,0,1,1,1,99.6249371475161,77.8494477740979,270.97047000166,6306.80165367986
35,17692921.440013,0,0,344.133684052131,0,9.62059754184394,24.7185490161142,89.6745683636104,29.3675809713933,124.626978407865,1646.38810512851,8.10423798027674,4787.12322746693,12770504920.2062,5355061125.62353,14.8024580094062,7572.24626032425,5.18086030329218,427.057478645327,21.4035707259875,98140.3270607644,0.208441168075295,6.11582249169226e-06,0.00019,6.10442313882658e-06,4.39999507794931e-06,13004597583.0294,17699985.197542,0,0,1,1,1,108.005079031856,77.8487672506012,278.008274300826,6441.61557057572
36,17692758.1463908,0,0,358.900078768721,0,9.88452532713745,25.3845496116374,92.0770865038436,29.9830272970391,129.418234501176,1685.45799668089,8.57893024038773,4887.01935694623,13044931115.7958,5394871092.99562,15.1498233423436,7762.7024208104,5.30243816982027,437.136651135982,21.42153066456,99052.155050191,0.212164019663814,6.64637960301799e-06,0.00019,6.6340825852193e-06,4.39999518149437e-06,13359691279.5195,17699984.8501766,0,0,1,1,1,117.375218703468,77.8480505914646,286.747423240834,6581.0562838675
37,17692585.5639121,0,0,375.649899795828,0,10.2081064967628,26.2038453573966,95.0356979517109,30.7838434297375,134.954728552034,1725.51969984219,9.06468235339562,4991.50798315189,13400016518.1716,5457650700.47363,15.5076009417852,7963.02188280169,5.42766032962481,447.516142559152,21.4396637643989,100059.970384677,0.215922765233446,7.23278800330305e-06,0.00019,7.21955967472186e-06,4.39999530917923e-06,13795421869.2177,17699984.492399,0,0,1,1,1,127.732677278786,77.8472934884654,297.186221787642,6726.09236534748
38,17692402.7346768,0,0,394.378340920417,0,10.5912752621296,27.1762855780162,98.5498853948631,31.7699658443805,141.234844816077,1766.81911540007,9.56180781788239,5101.3058863373,13835719096.3692,5543340509.59152,15.8779158439222,8174.19045197965,5.55727054537275,458.257623983348,21.4579645019865,101163.466073909,0.219716259833879,7.87486906686799e-06,0.00019,7.86068864869759e-06,4.39999545689837e-06,14311703154.9459,17699984.1220841,0,0,1,1,1,139.07446934466,77.8464916541941,309.322256895466,6877.68680955525
39,17692208.7079333,0,0,415.079999456706,0,11.0339408540124,28.3016515942879,102.618878467986,32.9412241746748,148.256820911826,1809.60188228543,10.0706908182017,5217.1240877027,14351952375.5157,5651672251.23213,16.2628903882482,8397.19079059076,5.69201163588688,469.422690726689,21.4764273027407,102362.305982411,0.22354334792991,8.57242720960099e-06,0.00019,8.55728605195497e-06,4.39999562031153e-06,14908414602.6296,17699983.7371096,0,0,1,1,1,151.397290804674,77.8456408285442,323.152516002787,7036.79666080633
